Name,Name Reason,Must Have Ingredient,Ingredients,Instructions,Cooking Time,Cuisine,Meal,Difficulty Level,Image
Balsamic Berry Cloud,The name evokes the lightness of the dessert ('Cloud') combined with the key ingredients: balsamic vinegar (implied by 'Balsamic') and berries.,Vinegar,"[""Balsamic vinegar"",""Fresh strawberries or mixed berries"",""Granulated sugar"",""Mascarpone cheese"",""Ladyfinger cookies"",""Berry juice or milk (for dipping)""]","[""Reduce balsamic vinegar with sugar in a small saucepan over medium heat until thickened, about 10-15 minutes. Let cool."",""In a separate bowl, whip mascarpone cheese with a little sugar until smooth and creamy."",""Dip ladyfinger cookies briefly in berry juice or milk."",""In dessert glasses or a dish, layer the whipped mascarpone, dipped ladyfingers, and cooled balsamic reduction."",""Repeat layers as desired, ending with a drizzle of balsamic reduction."",""Chill in the refrigerator for at least 1-2 hours before serving to allow flavors to meld.""]",30,Italian,Desserts,2,https://yiling.sirv.com/UkLWZg/ed6l8w-msx3nO-1745462056.png
Sunset Garlic Bites,"The name suggests small, savory Caribbean appetizers ('Bites') infused with garlic, hinting at the warm, vibrant flavors of the islands ('Sunset').",Garlic,"[""Large shrimp, peeled and deveined"",""Garlic cloves, minced"",""Olive oil"",""Bell peppers, chopped"",""Red onion, chopped"",""Fresh lime juice"",""Scotch bonnet pepper, finely chopped (optional)"",""Salt and black pepper to taste""]","[""Peel and devein shrimp. Pat dry."",""Heat olive oil in a skillet over medium heat."",""Add minced garlic and sauté until fragrant, about 1 minute. Do not brown."",""Add chopped bell peppers and onion, sauté until slightly softened, about 3-5 minutes."",""Increase heat slightly and add shrimp to the skillet. Cook for 2-3 minutes per side, until pink and cooked through."",""Remove from heat, stir in fresh lime juice and finely chopped scotch bonnet pepper (use sparingly for less heat)."",""Serve hot on skewers, small toasts, or simply as is.""]",15,Caribbean,Appetizers,2,https://yiling.sirv.com/UkLWZg/s18jaG-msx3nO-1745462062.png
Aegean Potato Sunshine,"The name connects to the Greek region ('Aegean') and highlights the main ingredient ('Potato'), while 'Sunshine' suggests a bright, flavorful dish suitable for lunch.",Potatoes,"[""Potatoes (such as Yukon Gold or red potatoes)"",""Extra virgin olive oil"",""Fresh lemon juice"",""Dried oregano"",""Garlic clove, minced"",""Feta cheese, crumbled"",""Kalamata olives, pitted and halved"",""Red onion, thinly sliced"",""Salt and black pepper to taste""]","[""Wash and quarter potatoes. Place in a pot with cold, salted water."",""Bring to a boil and cook until tender when pierced with a fork, about 15-20 minutes."",""Drain the potatoes thoroughly."",""While potatoes are cooking, whisk together olive oil, lemon juice, dried oregano, and minced garlic in a large bowl."",""Add the warm drained potatoes to the bowl with the dressing."",""Gently add crumbled feta cheese, Kalamata olives, and thinly sliced red onion."",""Toss everything gently until the potatoes are coated and ingredients are mixed."",""Season with salt and pepper to taste."",""Serve warm or at room temperature.""]",25,Greek,Lunch,1,https://yiling.sirv.com/UkLWZg/GZUcnU-msx3nO-1745462068.png
Parisian Velvet,"Evokes the smooth, rich texture achieved with butter in French cooking and suggests Parisian sophistication.",Butter,"[""4 large potatoes, peeled and thinly sliced"",""4 tablespoons butter"",""4 tablespoons all-purpose flour"",""2 cups heavy cream"",""2 cloves garlic, minced"",""1/2 teaspoon nutmeg"",""Salt and black pepper to taste"",""1/2 cup grated cheese (optional)""]","[""Preheat oven to 350°F (175°C). Grease a baking dish with butter."",""Peel and thinly slice the potatoes."",""In a saucepan, melt butter over medium heat. Whisk in flour to form a roux."",""Gradually whisk in heavy cream until smooth."",""Add minced garlic, nutmeg, salt, and pepper. Cook, stirring, until the sauce thickens slightly."",""Layer half of the sliced potatoes in the prepared dish."",""Pour half of the sauce over the potatoes."",""Repeat with the remaining potatoes and sauce."",""If desired, sprinkle with grated cheese."",""Bake for 45-60 minutes, or until potatoes are tender and the top is golden brown and bubbly.""]",55,French,Dinner,3,https://yiling.sirv.com/UkLWZg/ROeNhr-msx3nO-1745462073.png
Spice Route Almond Delight,"Reflects the use of spices common in Ethiopian cuisine and highlights the key ingredient, almonds, in a dessert context.",Almonds,"[""1 cup unsalted butter, softened"",""1/2 cup granulated sugar"",""1/4 cup honey"",""1 teaspoon vanilla extract"",""2 cups all-purpose flour"",""1/2 cup finely ground almonds (almond flour)"",""1 teaspoon ground cinnamon"",""1/2 teaspoon ground cardamom"",""1/4 teaspoon ground cloves"",""1/4 teaspoon salt"",""1/2 cup chopped almonds""]","[""Preheat oven to 325°F (160°C). Line baking sheets with parchment paper."",""In a bowl, cream together softened butter and sugar until light and fluffy."",""Beat in honey and vanilla extract."",""In a separate bowl, whisk together flour, finely ground almonds, cinnamon, cardamom, cloves, and a pinch of salt."",""Gradually add the dry ingredients to the wet ingredients, mixing until just combined."",""Fold in the chopped almonds."",""Drop spoonfuls of dough onto the prepared baking sheets, leaving space between them."",""Bake for 20-25 minutes, or until edges are lightly golden."",""Let cool on the baking sheets for a few minutes before transferring to a wire rack to cool completely.""]",25,Ethiopian,Desserts,2,https://yiling.sirv.com/UkLWZg/L3pHOn-msx3nO-1745462079.png
Golden Coast Bites,"Suggests the coastal regions of Spain where small, savory fried items are popular and hints at the bite-sized nature of the dish.",Baking Powder,"[""1 cup all-purpose flour"",""2 teaspoons baking powder"",""1/2 teaspoon salt"",""About 1 cup water (or milk, for a richer batter)"",""1/4 cup finely chopped onion"",""1/4 cup finely chopped red bell pepper"",""Olive oil for frying""]","[""In a large bowl, whisk together the flour, baking powder, and salt."",""Gradually whisk in the water until you have a smooth, lump-free batter."",""Finely chop the onion and red bell pepper."",""Stir the chopped onion and bell pepper into the batter."",""Heat a generous amount of olive oil in a large frying pan over medium-high heat."",""Once the oil is hot, carefully drop spoonfuls of the batter into the pan, making sure not to overcrowd it."",""Fry for 2-3 minutes per side, or until golden brown and cooked through."",""Remove the fritters with a slotted spoon and place them on a plate lined with paper towels to drain excess oil."",""Serve hot.""]",18,Spanish,Dinner,2,https://yiling.sirv.com/UkLWZg/PQNMcn-msx3nO-1745462085.png
Spice Souk Morsels,Evokes the rich spices and small bites found in a traditional Middle Eastern market (souk).,Salt,"[""Pita bread"",""Hummus"",""Baba ghanoush"",""Muhammara"",""Olives"",""Pickles"",""Fresh parsley"",""Fresh mint"",""Olive oil"",""Salt""]","[""Arrange pita bread triangles on a platter."",""Place bowls of hummus, baba ghanoush, and muhammara around the platter."",""Scatter olives, pickles, and fresh herbs like parsley and mint."",""Drizzle everything lightly with olive oil."",""Ensure salt is available for guests to season to taste.""]",20,Middle Eastern,Appetizers,2,https://yiling.sirv.com/UkLWZg/C9SrJg-msx3nO-1745462091.png
Bavarian Sweet Twist,Highlights the German (Bavarian) origin and the unusual use of pasta (twist) in a sweet context.,Pasta,"[""Egg noodles"",""Butter"",""Sugar"",""Cinnamon"",""Apples or cherries"",""Cream cheese or Quark"",""Salt (optional, for pasta water)""]","[""Cook egg noodles according to package directions. Drain."",""In a large bowl, combine cooked noodles with melted butter, sugar, cinnamon, and sliced apples or cherries."",""In a separate bowl, whisk together cream cheese or Quark with a little sugar until smooth."",""Gently fold the cream cheese mixture into the noodle mixture."",""Transfer to a greased baking dish."",""Bake at 350°F (175°C) for 20-25 minutes, or until heated through and slightly golden."",""Serve warm.""]",30,German,Desserts,3,https://yiling.sirv.com/UkLWZg/YHETxC-msx3nO-1745462096.png
Southern Corn Fritter Clouds,"Relates to Southern cuisine where corn is common, suggesting light, airy fritters.",Corn,"[""All-purpose flour"",""Eggs"",""Milk"",""Baking powder"",""Salt"",""Pepper"",""Vegetable oil for frying"",""Corn kernels (fresh, canned, or frozen and thawed)""]","[""In a medium bowl, whisk together flour, baking powder, salt, and pepper."",""In a separate bowl, whisk eggs and milk."",""Add wet ingredients to dry ingredients and stir until just combined. Do not overmix."",""Gently fold in the corn kernels."",""Heat oil in a large skillet over medium heat."",""Drop spoonfuls of batter into the hot oil, being careful not to overcrowd the pan."",""Cook for 2-3 minutes per side, or until golden brown and cooked through."",""Remove fritters from oil and drain on paper towels."",""Serve hot, optionally with a dipping sauce.""]",15,American,Appetizers,2,https://yiling.sirv.com/UkLWZg/5OQZnC-msx3nO-1745462101.png
Emerald Forest Stir,"The name ""Emerald Forest Stir"" evokes the vivid green of broccoli and the feeling of exploring rich flavors, while ""Stir"" directly relates to the cooking method common in Japanese cuisine.",Broccoli,"[""Broccoli florets"",""Soy sauce"",""Fresh ginger, minced"",""Garlic cloves, minced"",""Sesame oil"",""Vegetable oil"",""Optional: sliced mushrooms or carrots""]","[""Cut broccoli into bite-sized florets."",""Mince ginger and garlic."",""Heat vegetable oil in a wok or large pan over medium-high heat."",""Add minced ginger and garlic, stir-fry until fragrant (about 30 seconds)."",""Add broccoli florets and optional mushrooms/carrots."",""Stir-fry for 3-5 minutes until broccoli is bright green."",""In a small bowl, mix soy sauce and sesame oil."",""Pour the sauce over the vegetables."",""Stir-fry for another 2-3 minutes until vegetables are tender-crisp and coated in sauce."",""Serve hot.""]",20,Japanese,Dinner,2,https://yiling.sirv.com/UkLWZg/F0GX8N-msx3nO-1745462106.png
Andean Sun Drizzle,"""Andean Sun Drizzle"" captures the essence of a light, vibrant Peruvian dish (Andean Sun) where the key ingredient, olive oil, is often used as a finishing touch (Drizzle), perfect for a sunny lunch.",Olive Oil,"[""Quinoa"",""Cherry tomatoes, halved"",""Cucumber, diced"",""Red onion, finely sliced"",""Black olives, sliced"",""Fresh parsley, chopped"",""Lime juice"",""Olive oil"",""Salt"",""Black pepper""]","[""Rinse quinoa thoroughly under cold water."",""Cook quinoa according to package instructions (usually 1 part quinoa to 2 parts water), then let it cool completely."",""While quinoa cools, prepare the vegetables: halve cherry tomatoes, dice cucumber, thinly slice red onion, slice black olives, and chop parsley."",""In a large bowl, combine the cooled quinoa, cherry tomatoes, cucumber, red onion, black olives, and chopped parsley."",""In a small bowl, whisk together lime juice, olive oil, salt, and pepper to make the dressing."",""Pour the dressing over the quinoa mixture."",""Gently toss everything together until well combined."",""Taste and adjust seasoning as needed."",""Serve chilled or at room temperature.""]",30,Peruvian,Lunch,2,https://yiling.sirv.com/UkLWZg/kOKT9M-msx3nO-1745462112.png
Siam Fire Skewers,"""Siam Fire Skewers"" combines a historical name for Thailand (""Siam"") with the characteristic spiciness (""Fire"") often found in Thai cuisine, presented as a convenient appetizer format (""Skewers"") perfect for sharing.",Beef,"[""Beef sirloin or tenderloin, cut into cubes"",""Lemongrass, minced"",""Garlic cloves, minced"",""Fresh ginger, grated"",""Fish sauce"",""Soy sauce"",""Brown sugar"",""Chili flakes (adjust to taste)"",""Coconut milk (for marinade, optional)"",""Bamboo skewers""]","[""If using wooden skewers, soak them in water for at least 30 minutes to prevent burning."",""Cut beef into approximately 1-inch cubes."",""In a bowl, combine minced lemongrass, garlic, grated ginger, fish sauce, soy sauce, brown sugar, chili flakes, and optional coconut milk to make the marinade."",""Add beef cubes to the marinade, ensuring they are well coated."",""Cover and refrigerate for at least 30 minutes, or up to 4 hours."",""Thread the marinated beef cubes onto the soaked skewers."",""Preheat grill or broiler to medium-high heat."",""Grill or broil skewers for 3-5 minutes per side, depending on desired doneness and thickness of beef."",""Remove from heat and let rest for a few minutes before serving.""]",25,Thai,Appetizers,3,https://yiling.sirv.com/UkLWZg/3uWpPT-msx3nO-1745462117.png
Jade Leaf Cloud,"The name reflects the green hue of basil and the light, delicate texture of the dessert, evoking imagery of jade leaves and soft clouds.",Basil,"[""Fresh basil leaves"",""Coconut milk"",""Sugar"",""Cornstarch"",""Water"",""Pandan extract (optional)""]","[""Infuse coconut milk with basil leaves by simmering gently, then strain."",""Combine sugar and cornstarch in a pot, gradually whisk in basil-infused coconut milk."",""Cook over medium heat, stirring constantly, until thickened into a pudding consistency."",""Remove from heat, stir in pandan extract if using."",""Pour into serving dishes and chill for at least 2 hours until set."",""Serve cold, garnished with a fresh basil leaf if desired""]",15,Chinese,Desserts,3,https://yiling.sirv.com/UkLWZg/D6Psx3-msx3nO-1745462121.png
Seoul Sweet Dew,"Refers to the golden sweetness of honey, likened to morning dew, and evokes the capital city of Korea.",Honey,"[""Honey"",""Rice flour"",""Sweet red bean paste"",""Toasted sesame seeds"",""Water"",""Pinch of salt""]","[""In a bowl, mix rice flour with a pinch of salt and enough water to form a soft dough."",""Knead the dough briefly."",""Roll out small portions of dough and fill with sweet red bean paste, shaping into small balls or discs."",""Steam the rice cakes for 10-12 minutes until cooked."",""In a separate bowl, mix honey with a tiny amount of warm water to make a glaze."",""Dip the warm steamed rice cakes into the honey glaze."",""Roll the honeyed cakes in toasted sesame seeds to coat."",""Serve warm or at room temperature""]",20,Korean,Desserts,4,https://yiling.sirv.com/UkLWZg/msx3nO-msx3nO-1745462126.png
Bengal River Sweet,"Named after the rivers of Bengal, a region famous for both fish and sweets, hinting at the surprising fusion of these elements in a dessert.",Fish,"[""White fish fillet (e.g., Bhetki), cooked and very finely flaked"",""Milk"",""Basmati rice"",""Sugar"",""Cardamom pods"",""Ghee"",""Chopped nuts (cashews, almonds)"",""Saffron strands (optional)""]","[""Cook the rice with milk and crushed cardamom pods until the rice is soft and the milk has thickened into a kheer consistency, stirring frequently."",""While the kheer is simmering, gently flake the cooked fish fillet into extremely fine pieces, ensuring no bones remain."",""In a small pan, heat ghee and lightly fry the chopped nuts until golden brown."",""Once the kheer is thick, stir in the sugar until dissolved."",""Carefully fold in the finely flaked fish into the kheer, mixing gently."",""Simmer for another 5-10 minutes to allow flavors to meld, stirring continuously."",""Add saffron strands if using, stir."",""Remove from heat and stir in the fried nuts."",""Serve warm or chilled, garnished with more nuts if desired""]",40,Indian,Desserts,5,https://yiling.sirv.com/UkLWZg/5CQZnC-msx3nO-1745462132.png
Midnight Fiesta Bake,"The name evokes a festive, comforting, late-night meal, fitting for a rich, cheesy bake dish often enjoyed for dinner.",Cheese,"[""Ground beef or turkey"",""Taco seasoning"",""Water"",""Black beans"",""Tortillas"",""Shredded cheese (must have ingredient)"",""Optional toppings (salsa, sour cream, guacamole)""]","[""Preheat oven to 375°F (190°C)."",""In a large skillet, brown 1 lb ground beef or turkey. Drain excess fat."",""Stir in 1 packet taco seasoning, 1 cup water, and 1 can (15 oz) black beans, drained and rinsed. Simmer for 5-7 minutes until sauce thickens."",""Warm 8-10 tortillas slightly."",""Spoon the meat and bean mixture into the center of each tortilla, top with shredded cheese (must have ingredient)."",""Roll up the tortillas and place them seam-down in a greased 9x13 inch baking dish."",""Top the rolled tortillas generously with more shredded cheese (must have ingredient)."",""Bake for 15-20 minutes, or until the cheese is melted and bubbly and the edges are golden brown."",""Let stand for a few minutes before serving. Serve with optional toppings like salsa, sour cream, or guacamole.""]",45,Mexican,Dinner,3,https://yiling.sirv.com/UkLWZg/M2nylo-msx3nO-1745462137.png
Aegean Spice Bites,"Aegean refers to the region associated with Mediterranean cuisine, and Spice Bites describe small, flavorful appetizers highlighted by spices like cinnamon.",Cinnamon,"[""Filo dough"",""Melted butter"",""Chopped nuts"",""Sugar"",""Cinnamon (must have ingredient)"",""Ground cloves"",""Honey"",""Water"",""Lemon juice""]","[""In a bowl, combine 1 cup chopped nuts (like walnuts or pistachios), 1/4 cup sugar, 1 tablespoon cinnamon (must have ingredient), and 1/2 teaspoon ground cloves."",""Brush a filo dough sheet with melted butter. Top with another sheet and brush with butter."",""Spoon a line of the nut mixture along one edge of the filo sheets."",""Roll up the filo tightly to form a log."",""Cut the log into 1-inch pieces."",""Place the pieces on a baking sheet."",""Repeat with remaining filo sheets and nut mixture."",""Bake in a preheated oven at 350°F (175°C) for 15-20 minutes, or until golden brown."",""While baking, prepare a simple syrup by boiling 1/2 cup water and 1/2 cup honey for 5 minutes. Add a squeeze of lemon juice."",""Once baked, immediately drizzle the hot syrup over the warm spice bites."",""Allow to cool and absorb the syrup before serving as appetizers.""]",25,Mediterranean,Appetizers,4,https://yiling.sirv.com/UkLWZg/prklVe-msx3nO-1745462142.png
Hanoi Sunrise Rolls,"Hanoi Sunrise evokes the freshness and lightness typical of Vietnamese cuisine, often enjoyed for lunch, while Rolls describes the form of the dish.",Carrots,"[""Rice paper wrappers"",""Vermicelli noodles"",""Shrimp or pork"",""Carrots (must have ingredient)"",""Cucumber"",""Fresh herbs (mint, cilantro, basil)"",""Fish sauce"",""Lime juice"",""Sugar"",""Water"",""Garlic"",""Chili""]","[""Prepare filling: Cook 1/2 lb shrimp or thin strips of pork."",""Soak vermicelli noodles according to package directions, then drain."",""Shred carrots (must have ingredient) and cucumber into thin strips."",""Wash and prepare fresh herbs like mint, cilantro, and basil."",""Fill a shallow dish with warm water."",""Dip one rice paper wrapper in the warm water for 15-20 seconds until pliable."",""Lay the softened wrapper flat on a clean surface."",""Arrange a small amount of vermicelli, shrimp/pork, shredded carrots (must have ingredient), cucumber, and herbs near one edge of the wrapper."",""Fold the edge over the filling, then fold in the sides."",""Roll the wrapper tightly from the filled edge to the end."",""Place the finished roll on a platter and cover with a damp cloth to prevent drying while you make the rest."",""Prepare dipping sauce: Combine fish sauce, lime juice, sugar, water, minced garlic, and chili (to taste)."",""Serve fresh rolls with the dipping sauce.""]",30,Vietnamese,Lunch,3,https://yiling.sirv.com/UkLWZg/so8jaG-msx3nO-1745462148.png
Samba Sunrise Scramble,Combines 'Samba' to evoke Brazilian culture and 'Sunrise Scramble' as a fitting name for an egg-based dish often enjoyed for brunch or a light lunch.,Eggs,"[""Eggs"",""Onion"",""Tomatoes"",""Green bell pepper"",""Brazilian cheese (Minas or similar)"",""Olive oil"",""Salt"",""Black pepper"",""Fresh parsley (chopped)""]","[""Finely chop the onion, tomatoes, and green bell pepper."",""Grate or dice the Brazilian cheese."",""Heat olive oil in a non-stick skillet over medium heat."",""Add the chopped onion and cook until translucent, about 3-5 minutes."",""Add the chopped tomatoes and bell pepper and cook for another 5-7 minutes until softened."",""In a bowl, whisk the eggs with salt and pepper."",""Pour the whisked eggs into the skillet with the vegetables."",""As the eggs begin to set, gently stir them with a spatula, scraping the bottom and sides of the pan."",""When the eggs are mostly set but still slightly moist, sprinkle the grated cheese over them."",""Continue cooking and stirring gently until the cheese is melted and the eggs are cooked through."",""Remove from heat and garnish with fresh chopped parsley."",""Serve immediately.""]",25,Brazilian,Lunch,2,https://yiling.sirv.com/UkLWZg/rsClYt-msx3nO-1745462153.png
Deep South Groundnut Stew,"'Deep South' references the origin of Soul Food cuisine, and 'Groundnut Stew' is a nod to a traditional African dish using peanuts, brought and adapted.",Peanuts,"[""Boneless, skinless chicken thighs or beef stew meat"",""Peanut butter (smooth or chunky)"",""Onion"",""Garlic"",""Ginger"",""Canned diced tomatoes"",""Sweet potatoes"",""Spinach"",""Chicken or vegetable broth"",""Olive oil or vegetable oil"",""Paprika"",""Cumin"",""Coriander"",""Cayenne pepper (optional)"",""Salt"",""Black pepper"",""Chopped peanuts (for garnish)""]","[""Cut the chicken or beef into bite-sized pieces. Season with salt, pepper, and some paprika, cumin, and coriander."",""Heat oil in a large pot or Dutch oven over medium-high heat."",""Brown the meat on all sides, then remove from the pot."",""Add chopped onion to the pot and cook until softened, about 5-7 minutes."",""Add minced garlic and grated ginger and cook for another minute until fragrant."",""Stir in the remaining paprika, cumin, coriander, and cayenne (if using) and cook for 30 seconds."",""Add the canned diced tomatoes and stir, scraping the bottom of the pot."",""Return the meat to the pot."",""In a separate bowl, whisk together the peanut butter and chicken or vegetable broth until smooth."",""Pour the peanut butter mixture into the pot."",""Peel and dice the sweet potatoes and add them to the pot."",""Bring the stew to a simmer, then reduce heat to low, cover, and cook for at least 45-60 minutes (longer for beef) until the meat is tender and the sweet potatoes are soft."",""Stir occasionally to prevent sticking."",""Stir in the spinach during the last 5-10 minutes of cooking until it wilts."",""Taste and adjust seasoning with salt and pepper."",""Serve hot, garnished with chopped peanuts.""]",75,Soul Food,Lunch,3,https://yiling.sirv.com/UkLWZg/8DR0I7-msx3nO-1745462158.png
Masala Yeast Bread Bites,"'Masala' denotes the Indian spice blend, 'Yeast Bread' highlights the key ingredient and process, and 'Bites' suggests a small, manageable serving size perfect for lunch.",Yeast,"[""All-purpose flour"",""Active dry yeast"",""Warm water"",""Sugar"",""Salt"",""Cooking oil"",""Ginger-garlic paste"",""Chopped green chilies (optional)"",""Turmeric powder"",""Red chili powder"",""Garam masala"",""Cumin seeds"",""Chopped fresh cilantro"",""Butter or ghee (for serving)""]","[""In a large bowl, combine warm water, sugar, and active dry yeast. Let it sit for 5-10 minutes until frothy."",""Add flour, salt, oil, ginger-garlic paste, chopped green chilies (if using), turmeric powder, red chili powder, garam masala, and cumin seeds to the yeast mixture."",""Add chopped cilantro."",""Mix everything together to form a shaggy dough."",""Turn the dough out onto a lightly floured surface and knead for 8-10 minutes until it is smooth and elastic."",""Grease a clean bowl with a little oil, place the dough in it, and turn to coat."",""Cover the bowl with plastic wrap or a damp cloth and let it rise in a warm place for 1-1.5 hours, or until doubled in size."",""Punch down the dough and divide it into small, equal portions (about the size of a golf ball)."",""Shape each portion into a smooth ball or flatten slightly into discs."",""You can cook these bites by baking or frying."",""To Bake: Preheat oven to 375°F (190°C). Place the dough bites on a baking sheet lined with parchment paper. Bake for 15-20 minutes, or until golden brown."",""To Fry: Heat oil in a pan for shallow or deep frying. Fry the dough bites over medium heat until golden brown and cooked through, turning occasionally."",""Remove cooked bites and drain on paper towels (if fried)."",""Brush with butter or ghee while hot."",""Serve hot, perhaps with chutney or yogurt.""]",105,Indian,Lunch,4,https://yiling.sirv.com/UkLWZg/aAtNvL-msx3nO-1745462163.png
Desert Sun Lemon Roast,"The name evokes the warmth and spice of Middle Eastern cuisine, incorporating the key ingredient 'Lemon' and suggesting a hearty roasted dish perfect for lunch.",Lemon,"[""Whole chicken"",""Lemon"",""Olive oil"",""Garlic cloves"",""Cumin"",""Coriander"",""Turmeric"",""Paprika"",""Salt"",""Black pepper"",""Onion"",""Potatoes""]","[""Preheat oven to 400°F (200°C)."",""Wash and pat the chicken dry."",""In a small bowl, mix olive oil, minced garlic, cumin, coriander, turmeric, paprika, salt, and pepper."",""Cut the lemon in half; squeeze one half into the spice mixture and slice the other half."",""Rub the spice mixture all over the chicken, including under the skin."",""Place sliced lemon halves, chopped onion, and potatoes around the chicken in a roasting pan."",""Roast for 60-75 minutes, or until chicken is cooked through and juices run clear.""]",75,Middle Eastern,Lunch,3,https://yiling.sirv.com/UkLWZg/QiA48c-msx3nO-1745462168.png
