Haiku,Movie
"Spirits break and fade,
In Magdalene's dark asylum,
Abuse takes its toll.",The Magdalene Sisters
"Pool cue strikes the ball,
A hustler's game, high stakes rise,
Champion will fall.",The Hustler
"Thanos brings the pain,
The Avengers stand as one,
Universe at stake.",Avengers: Infinity War
"A teen's final breath,
A journal's clues unfold rape,
Mob secrets revealed.",Eastern Promises
"Born next to the Christ,
Brian's life, a funny mess,
Not the Messiah, no.",Life of Brian
"Secrets in Chinatown,
Deceit, corruption, death's sting,
The detective falls.",Chinatown
"Dragon's fiery breath,
Potter's trials, a goblet's test,
Nightmares cloud his sight.",Harry Potter and the Goblet of Fire
"Hollywood's last days,
A fading star's stunt double,
Fame's elusive dream.",Once Upon a Time... in Hollywood
"Denmark's prince returns,
Avenge father, kill uncle,
War is on the rise.",Hamlet
"Sisters' tangled lives,
Love triangles, raw emotions,
Thanksgiving's unease.",Hannah and Her Sisters
"Rebels face the cold,
Jedi train as friends scatter,
Vader hunts them all.",Star Wars: Episode V - The Empire Strikes Back
"Captive turns to free,
World anew for a young boy,
Hope blooms in new Room.",Room
"Cop hunts a drug lord,
In Harlem's gritty corners,
An American crime.",American Gangster
"Sister needs a cure,
Kidnap turns to dark ransom,
Revenge, a sad deed.",Boksuneun naui geot
"Socialite's new love,
Past shadows her bright future,
Breakfast, bittersweet.",Breakfast at Tiffany's
"Crime goes wrong in snow,
Bungling crooks, police pursue,
Pregnant Marge sees all.",Fargo
"Twenty minutes left,
To find marks, one hundred grand,
Lola runs so fast.",Lola rennt
"Actors in Poland,
Spy games during Nazi rule,
To be is to act.",To Be or Not to Be
"Old outlaws ride on,
West fades, one last score sought,
Wild Bunch rides to end.",The Wild Bunch
"Last day of freedom,
Drug dealer faces his fate,
Time runs, 25th Hour.",25th Hour
"Childhood friends broken,
A family tragedy strikes,
River flows with grief.",Mystic River
"Daughter is taken,
Across Europe, he will fight,
Skills save her life now.",Taken
"Vito&apos;s early life,
Michael grips crime empire,
Family expands power.",The Godfather: Part II
"He can look like all,
Meets the famous, acts like,
Zelig blends right in.",Zelig
"Honest cop alone,
Whistle blown on the corrupt,
Turned against by all.",Serpico
"Conference in town,
Finds a couple in his place,
Home is now shared space.",The Visitor
"Turkish man travels,
Find his father&apos;s girlfriend&apos;s
Daughter across lands.",Auf der anderen Seite
"Love at first sight blooms,
Differences tested hard,
Illness breaks the heart.",The Broken Circle Breakdown
"Partners on the beat,
Daily grind, danger unfolds,
Criminals arise.",End of Watch
"Christmas party raid,
Hostages held, hero fights,
Nakatomi falls.",Die Hard
