Image 1,Image 2,Joke
examples/icon_jokes/images/i9.png,examples/icon_jokes/images/i7.png,Why did the magnifying glass break up with the exit sign? Because it couldn't see itself leaving!
examples/icon_jokes/images/i7.png,examples/icon_jokes/images/i5.png,What do you call a trash can trying to leave? Garbage out!
examples/icon_jokes/images/i2.png,examples/icon_jokes/images/i3.png,Why did the right arrow approve the check mark? Because it was moving in the right direction!
examples/icon_jokes/images/i5.png,examples/icon_jokes/images/i11.png,I tried to throw away a star but it was trash-can't!
examples/icon_jokes/images/i11.png,examples/icon_jokes/images/i2.png,Why did the star rate the check mark so low? It just wasn't up to par!
examples/icon_jokes/images/i8.png,examples/icon_jokes/images/i10.png,I asked the menu and gear icon what they wanted to eat. They said they had a lot on their plate!
examples/icon_jokes/images/i4.png,examples/icon_jokes/images/i6.png,Why did the home icon cross out the X icon? It didn't want to leave home!
examples/icon_jokes/images/i10.png,examples/icon_jokes/images/i9.png,"I tried to set the settings on the magnifying glass, but it was just too focused!"
examples/icon_jokes/images/i3.png,examples/icon_jokes/images/i4.png,"Why did the 'X' get mad at the 'Next' button? Because it said, 'You're next to be deleted!'"
examples/icon_jokes/images/i1.png,examples/icon_jokes/images/i8.png,"The menu and back button had a fight, but the back button always had a way to return to the argument!"
examples/icon_jokes/images/i6.png,examples/icon_jokes/images/i1.png,Why did the back arrow go to the home? To return to sender!
examples/icon_jokes/images/i2.png,examples/icon_jokes/images/i10.png,I tried to set the settings on the check mark but it was already approved!
examples/icon_jokes/images/i7.png,examples/icon_jokes/images/i9.png,The magnifying glass and exit sign had a disagreement. It wasn't easy to see themselves agreeing!
examples/icon_jokes/images/i11.png,examples/icon_jokes/images/i4.png,"The star and the 'X' icon had a fight, but the star always came out on top!"
examples/icon_jokes/images/i6.png,examples/icon_jokes/images/i7.png,"The exit sign was going home, but it couldn't find its way back!"
