"Name","Pokedex Number","Type1","Type2","Classification","Height (m)","Weight (kg)","Abilities","Generation","Legendary Status","Ecology"
"Bulbasaur","1","Grass","Poison","Seed Pokémon","0.7","6.9","Overgrow, Chlorophyll","1","No","Bulbasaur are commonly found in grasslands and forests, often near bodies of water. They are herbivores, primarily consuming plant matter and absorbing nutrients from sunlight through the bulb on their back. Bulbasaur are social Pokémon, often living in small groups and displaying a calm and gentle nature."
"Ivysaur","2","Grass","Poison","Seed Pokémon","1","13","Overgrow, Chlorophyll","1","No","Ivysaur inhabit forests and grasslands. They are herbivores that consume plant matter. As the bud on their back grows larger, they spend more time basking in the sun to aid in photosynthesis. They tend to be solitary, though they tolerate the presence of other Ivysaur. Ivysaur are generally calm but can become territorial during the blooming season."
"Venusaur","3","Grass","Poison","Seed Pokémon","2","100","Overgrow, Chlorophyll","1","No","Venusaur live in dense forests and jungles, thriving in areas with abundant sunlight and moisture. They are herbivores and derive energy from photosynthesis, using the large flower on their back. Venusaur are solitary creatures but gather during the blooming season, releasing a pleasant aroma that attracts other Pokémon. They are calm and benevolent, often sharing their energy with weakened Pokémon."
"Charmander","4","Fire","","Lizard Pokémon","0.6","8.5","Blaze, Solar-power","1","No","Charmander are found in rocky areas and mountainous regions with warm climates. They are omnivorous, feeding on insects, berries, and occasionally small animals. Charmander are typically solitary and prefer to keep to themselves. They have a fiery personality and are known for their strong-willed and determined nature."
"Charmeleon","5","Fire","","Flame Pokémon","1.1","19","Blaze, Solar-power","1","No","Charmeleon inhabit rocky and volcanic areas with hot climates. They are carnivorous, preying on small mammals and birds. Charmeleon are solitary Pokémon with a more aggressive temperament compared to Charmander. They are known for their competitive nature, constantly seeking to prove their strength and power."
"Charizard","6","Fire","Flying","Flame Pokémon","1.7","90.5","Blaze, Solar-power","1","No","Charizard inhabit mountainous regions and volcanic areas, often nesting on high peaks. They are omnivorous, feeding on a variety of foods including fruits, small animals, and occasionally volcanic rocks for minerals. Charizard are solitary creatures and are fiercely independent. They are known for their pride and can be quite aggressive, especially if provoked, seeking strong opponents to test their might."
"Squirtle","7","Water","","Tiny Turtle Pokémon","0.5","9","Torrent, Rain-dish","1","No","Squirtle are commonly found near freshwater sources such as ponds, rivers, and lakes. They are omnivorous, feeding on aquatic plants, algae, and small crustaceans. Squirtle often live in small groups and are known for their playful and mischievous nature. They enjoy squirting water at unsuspecting passersby and are generally friendly and sociable Pokémon."
"Wartortle","8","Water","","Turtle Pokémon","1","22.5","Torrent, Rain-dish","1","No","Wartortle inhabit freshwater environments like lakes and rivers. They are omnivorous, consuming aquatic plants and small aquatic creatures. Wartortle are solitary Pokémon and tend to be cautious and wary of their surroundings. They are known for their wisdom and longevity, with some Wartortle living for over a century. They are revered for their flowing tail, which is a symbol of good luck and longevity."
"Blastoise","9","Water","","Shellfish Pokémon","1.6","85.5","Torrent, Rain-dish","1","No","Blastoise inhabit coastal regions and islands, preferring marine environments. They are carnivorous, feeding on fish, crustaceans, and other marine life. Blastoise are solitary Pokémon, and are known for their power and resilience. They are calm and protective, often acting as guardians of their territory."
"Caterpie","10","Bug","","Worm Pokémon","0.3","2.9","Shield-dust, Run-away","1","No","Caterpie are found in forests, grasslands, and gardens, often dwelling on leaves and branches of trees. They are herbivores, feeding primarily on plant leaves and using their strong jaws to munch through foliage. Caterpie are typically solitary creatures and have a docile and timid nature. They are known for their vibrant green coloration and are often seen as harmless and gentle Pokémon."
