Name,Ingredients,Cooking Time,Cuisine,Meal,Difficulty Level
Kung Pao Chicken,"[""Chicken"",""Peanuts"",""Soy Sauce"",""Chili Peppers""]",30,Chinese,Lunch,3
Beef Bourguignon,"[""Beef"",""Red Wine"",""Mushrooms"",""Onions""]",180,French,Dinner,4
Hummus with Pita,"[""Chickpeas"",""Tahini"",""Lemon Juice"",""Olive Oil"",""Pita Bread""]",15,Lebanese,Appetizers,1
Coxinha,"[""Chicken"",""Cream Cheese"",""Breadcrumbs"",""Onion""]",45,Brazilian,Appetizers,3
Margarita,"[""Tequila"",""Lime Juice"",""Orange Liqueur"",""Salt""]",5,Mexican,Drinks,1
Greek Salad,"[""Tomatoes"",""Cucumbers"",""Olives"",""Feta Cheese"",""Olive Oil""]",20,Mediterranean,Lunch,1
Sushi Rolls,"[""Sushi Rice"",""Nori"",""Fish"",""Vegetables""]",60,Japanese,Dinner,4
Injera with Wat,"[""Injera Bread"",""Meat Stew"",""Spices""]",90,Ethiopian,Lunch,3
Moussaka,"[""Eggplant"",""Ground Meat"",""Potatoes"",""Bechamel Sauce""]",120,Greek,Dinner,4
Sauerbraten,"[""Beef"",""Vinegar"",""Gingerbread"",""Raisins""]",150,German,Lunch,4
Turkish Delight,"[""Milk"",""Sugar"",""Pistachios"",""Rosewater""]",60,Turkish,Desserts,2
Che Chuoi,"[""Tapioca pearls"",""Coconut milk"",""Sugar"",""Mango"",""Pandan leaves""]",45,Vietnamese,Desserts,3
Tortilla Espanola,"[""Eggs"",""Potatoes"",""Onions"",""Olive oil"",""Salt""]",35,Spanish,Breakfast,2
Lemonade,"[""Lemon"",""Sugar"",""Water"",""Mint""]",5,American,Drinks,1
Samosas,"[""Samosa pastry"",""Potatoes"",""Peas"",""Spices"",""Oil""]",50,Indian,Appetizers,3
Moroccan Mint Tea,"[""Mint leaves"",""Sugar"",""Lime"",""Sparkling water""]",10,Moroccan,Drinks,2
Causa Rellena,"[""Potatoes"",""Yellow chili"",""Lime juice"",""Vegetable oil"",""Salt"",""Pepper""]",40,Peruvian,Lunch,4
Aperol Spritz,"[""Prosecco"",""Aperol"",""Soda water"",""Orange slice""]",5,Italian,Drinks,1
Bibimbap,"[""Rice"",""Vegetables"",""Beef"",""Egg"",""Soy sauce"",""Sesame oil""]",45,Korean,Lunch,3
Pad Thai,"[""Rice noodles"",""Shrimp"",""Tofu"",""Bean sprouts"",""Peanuts"",""Tamarind paste""]",60,Thai,Dinner,4
Masala Dosa,"[""Rice"",""Urad Dal"",""Fenugreek Seeds"",""Potatoes"",""Onions"",""Spices""]",45,Indian,Breakfast,3
Hummus,"[""Chickpeas"",""Tahini"",""Lemon Juice"",""Garlic"",""Olive Oil""]",10,Lebanese,Appetizers,1
Caipirinha,"[""Cachaça"",""Sugar"",""Lime""]",5,Brazilian,Drinks,1
Pisco Sour,"[""Pisco"",""Lime Juice"",""Simple Syrup"",""Egg White"",""Angostura Bitters""]",7,Peruvian,Drinks,2
Greek Salad,"[""Tomatoes"",""Cucumbers"",""Onion"",""Olives"",""Feta Cheese"",""Olive Oil"",""Oregano""]",15,Mediterranean,Lunch,2
Tej,"[""Honey"",""Water"",""Gesho""]",1440,Ethiopian,Drinks,3
Bruschetta,"[""Bread"",""Tomatoes"",""Garlic"",""Basil"",""Olive Oil""]",10,Italian,Appetizers,1
Mint Lemonade,"[""Mint"",""Lemon"",""Sugar"",""Water""]",5,Moroccan,Drinks,1
Kimchi Fried Rice,"[""Kimchi"",""Rice"",""Egg"",""Gochujang"",""Sesame Oil"",""Vegetables""]",20,Korean,Lunch,2
Tzatziki,"[""Greek Yogurt"",""Cucumber"",""Garlic"",""Olive Oil"",""Lemon Juice"",""Dill""]",10,Greek,Appetizers,1
Sauerbraten,"[""Beef"",""Vinegar"",""Gingerbread"",""Raisins""]",180,German,Lunch,4
Mango Sticky Rice,"[""Mango"",""Sticky Rice"",""Coconut Milk"",""Sugar""]",45,Chinese,Desserts,2
Pad See Ew,"[""Rice Noodles"",""Chinese Broccoli"",""Egg"",""Soy Sauce""]",25,Thai,Dinner,3
