Pokemon1,Pokemon2,Pokemon3
Silvally,Anorith,Numel
Darkrai,Turtwig,Dedenne
Skorupi,Hoppip,Registeel
Vanillite,Gyarados,Koffing
Weepinbell,Charmeleon,Tropius
Pheromosa,Caterpie,Dragonite
Sceptile,Litleo,Thwackey
Wingull,Cubchoo,Trumbeak
Electivire,Zweilous,Inkay
Wyrdeer,Ferrothorn,Fomantis
Eevee,Landorus-incarnate,Gastly
Cramorant,Cofagrigus,Farfetchd
Popplio,Thwackey,Runerigus
Cacnea,Togetic,Honchkrow
Poliwag,Seaking,Tentacool
Deoxys-normal,Fearow,Nidoqueen
Poliwhirl,Lotad,Magby
Dragapult,Kartana,Togekiss
Tyrunt,Crabominable,Mismagius
Buneary,Staraptor,Munchlax
Fearow,Shuppet,Komala
Cutiefly,Patrat,Ivysaur
Pidgeot,Corviknight,Morgrem
Venusaur,Watchog,Bounsweet
Emboar,Gloom,Octillery
Milcery,Skitty,Vigoroth
Gothita,Swalot,Amoonguss
Gliscor,Delcatty,Feraligatr
Pineco,Espeon,Pineco
Porygon2,Sunkern,Jynx
