Image 1,Image 2,Joke
examples/icon_jokes/images/i9.png,examples/icon_jokes/images/i7.png,Why did the magnifying glass break up with the other magnifying glass? Because they couldn't see eye to eye anymore!
examples/icon_jokes/images/i7.png,examples/icon_jokes/images/i5.png,Why did the trash can get dumped? It wasn't feeling itself. The end.
examples/icon_jokes/images/i2.png,examples/icon_jokes/images/i3.png,"I told my editor, 'These arrows are terrible,' but he just said, 'Next!'"
examples/icon_jokes/images/i5.png,examples/icon_jokes/images/i11.png,Why did the star refuse to go into the trash? Because it was a stellar performance!
examples/icon_jokes/images/i11.png,examples/icon_jokes/images/i2.png,"What did the star say to the check mark? You gotta choose one, cause you can't be stellar AND approved!"
examples/icon_jokes/images/i8.png,examples/icon_jokes/images/i10.png,"What did the settings icon say to the menu icon? 'Let's keep things organised, alright? Or are we not on the same menu?'"
examples/icon_jokes/images/i4.png,examples/icon_jokes/images/i6.png,Why was the close icon not allowed inside the house icon? Because it was always trying to shut things down!
examples/icon_jokes/images/i10.png,examples/icon_jokes/images/i9.png,Why was the gear icon upset with the magnifying glass? Because it kept looking for problems that weren't there!
examples/icon_jokes/images/i3.png,examples/icon_jokes/images/i4.png,What did the arrow say to the close icon? Don't try to X me out!
examples/icon_jokes/images/i1.png,examples/icon_jokes/images/i8.png,"I was going to tell a joke about an arrow icon and a menu icon, but there were just too many directions and no clear choice where it leads!"
examples/icon_jokes/images/i6.png,examples/icon_jokes/images/i1.png,Why did the arrow get lost going home? It had no sense of direction!
examples/icon_jokes/images/i2.png,examples/icon_jokes/images/i10.png,"What did the check mark say to the gear icon? Stop working on everything so much, and just agree already!"
examples/icon_jokes/images/i7.png,examples/icon_jokes/images/i9.png,"A magnifying glass went up to an exit. You know what he said to it? I need to find me some outta here, quick!"
examples/icon_jokes/images/i11.png,examples/icon_jokes/images/i4.png,Why did the Star go to the cross icon? Because it was in a crissis! I need stars to guide me!!!
examples/icon_jokes/images/i6.png,examples/icon_jokes/images/i7.png,The House told the Exit symbol to please stay home for once.
