Name,Ing1,Ing2,Ingredients,Cooking Time,Cuisine,Meal,Difficulty Level
Spanish Olives,Olive Oil,Salt,"[""Olive Oil"",""Salt"",""Garlic"",""Oregano""]",15,Spanish,Appetizers,1
German Cream Tart,Sour Cream,Sugar,"[""Sour Cream"",""Sugar"",""Eggs"",""Flour""]",45,German,Desserts,3
Lebanese Flatbread,Salt,Flour,"[""Salt"",""Flour"",""Water"",""Zaatar""]",30,Lebanese,Breakfast,2
Japanese Cheese Omelet,Cheese,Eggs,"[""Cheese"",""Eggs"",""Soy Sauce"",""Dashi""]",20,Japanese,Drinks,2
Italian Sausage Pasta,Garlic,Sausage,"[""Garlic"",""Sausage"",""Pasta"",""Tomato Sauce""]",50,Italian,Dinner,3
Peruvian Milk Soup,Milk,Pasta,"[""Milk"",""Pasta"",""Potatoes"",""Cheese""]",35,Peruvian,Breakfast,2
Brazilian Cinnamon Salad,Cinnamon,Vinegar,"[""Cinnamon"",""Vinegar"",""Tomatoes"",""Lettuce""]",25,Brazilian,Lunch,1
American Yogurt Smoothie,Yogurt,Nutmeg,"[""Yogurt"",""Nutmeg"",""Banana"",""Honey""]",5,American,Drinks,1
Indian Broccoli Bites,Broccoli,Olive Oil,"[""Broccoli"",""Olive Oil"",""Turmeric"",""Chili Powder""]",20,Indian,Appetizers,2
Greek Pasta Salad,Pasta,Potatoes,"[""Pasta"",""Potatoes"",""Olives"",""Feta Cheese""]",30,Greek,Appetizers,1
Chinese Butter Milk Stew,Butter,Milk,"[""Butter"",""Milk"",""Soy Sauce"",""Ginger"",""Garlic""]",25,Chinese,Lunch,3
Mediterranean Avocado Celery Smoothie,Avocado,Celery,"[""Avocado"",""Celery"",""Yogurt"",""Honey"",""Spinach""]",10,Mediterranean,Drinks,2
Korean Butter Ketchup Pizza,Ketchup,Butter,"[""Ketchup"",""Butter"",""Flour"",""Pepperoni"",""Cheese""]",35,Korean,Lunch,4
Vietnamese Eggs Tomatoes Salad,Eggs,Tomatoes,"[""Eggs"",""Tomatoes"",""Lettuce"",""Cucumber"",""Vinegar""]",15,Vietnamese,Appetizers,2
Thai Tuna Cheese Soup,Tuna,Cheese,"[""Tuna"",""Cheese"",""Coconut Milk"",""Lemongrass"",""Chili""]",40,Thai,Desserts,5
Moroccan Brown Sugar Mayonnaise Dip,Brown Sugar,Mayonnaise,"[""Brown Sugar"",""Mayonnaise"",""Garlic"",""Lemon Juice"",""Paprika""]",20,Moroccan,Lunch,3
French Celery Baking Powder Muffins,Celery,Baking Powder,"[""Celery"",""Baking Powder"",""Flour"",""Eggs"",""Sugar""]",30,French,Breakfast,1
Mexican Lemon Broccoli Burritos,Lemon,Broccoli,"[""Lemon"",""Broccoli"",""Tortillas"",""Beans"",""Cheese""]",45,Mexican,Dinner,4
British Jam Ketchup Drink,Jam,Ketchup,"[""Jam"",""Ketchup"",""Water"",""Lemon Juice"",""Sugar""]",5,British,Drinks,2
Ethiopian Vanilla Extract Garlic Coffee,Vanilla Extract,Garlic,"[""Vanilla Extract"",""Garlic"",""Coffee Beans"",""Water"",""Sugar""]",10,Ethiopian,Drinks,3
Moroccan Basil Vanilla Extract Salad,Basil,Vanilla Extract,"[""Basil"",""Vanilla Extract""]",25,Moroccan,Dinner,3
American Chicken Breast Skewers,Chicken Breast,Chicken Breast,"[""Chicken Breast"",""Chicken Breast""]",15,American,Appetizers,2
Thai Flour Maple Syrup Pancakes,Flour,Maple Syrup,"[""Flour"",""Maple Syrup""]",30,Thai,Dinner,3
Ethiopian Mushrooms and Bacon Scramble,Mushrooms,Bacon,"[""Mushrooms"",""Bacon""]",20,Ethiopian,Breakfast,2
Brazilian Potatoes with Peanut Butter Sauce,Potatoes,Peanut Butter,"[""Potatoes"",""Peanut Butter""]",40,Brazilian,Lunch,3
Peruvian Maple Syrup Cinnamon Rolls,Maple Syrup,Cinnamon,"[""Maple Syrup"",""Cinnamon""]",50,Peruvian,Lunch,4
Vietnamese Mayonnaise Sour Cream Dip,Mayonnaise,Sour Cream,"[""Mayonnaise"",""Sour Cream""]",5,Vietnamese,Breakfast,1
Spanish Peanut Butter Salmon,Peanut Butter,Salmon,"[""Peanut Butter"",""Salmon""]",35,Spanish,Dinner,3
Lebanese Parsley Rice Pilaf,Parsley,Rice,"[""Parsley"",""Rice""]",30,Lebanese,Dinner,2
Indian Heavy Cream Carrots Soup,Heavy Cream,Carrots,"[""Heavy Cream"",""Carrots""]",25,Indian,Appetizers,2
Korean Onion Yeast Rolls,Yeast,Onion,"[""Yeast"",""Onion"",""Flour"",""Sugar"",""Salt"",""Water"",""Milk"",""Eggs""]",35,Korean,Desserts,3
British Brown Sugar Vinegar Oatmeal,Vinegar,Brown Sugar,"[""Vinegar"",""Brown Sugar"",""Oatmeal"",""Water"",""Salt"",""Milk""]",20,British,Breakfast,2
Greek Chocolate Chips Spinach Smoothie,Spinach,Chocolate Chips,"[""Spinach"",""Chocolate Chips"",""Yogurt"",""Milk"",""Honey""]",5,Greek,Drinks,1
Japanese Cilantro Sausage Bites,Sausage,Cilantro,"[""Sausage"",""Cilantro"",""Soy Sauce"",""Ginger"",""Garlic"",""Sesame Oil""]",15,Japanese,Appetizers,2
Italian Mustard Onion Crostini,Onion,Mustard,"[""Onion"",""Mustard"",""Bread"",""Olive Oil"",""Garlic"",""Salt"",""Pepper""]",10,Italian,Appetizers,1
Mexican Honey Lemon Chicken,Honey,Lemon,"[""Honey"",""Lemon"",""Chicken"",""Chili Powder"",""Cumin"",""Garlic"",""Onion"",""Olive Oil""]",25,Mexican,Lunch,3
Chinese Basil Sugar Pancakes,Sugar,Basil,"[""Sugar"",""Basil"",""Flour"",""Eggs"",""Milk"",""Baking Powder""]",30,Chinese,Breakfast,2
German Pepper Rice Juice,Rice,Pepper,"[""Rice"",""Pepper"",""Water"",""Lemon Juice"",""Sugar""]",5,German,Drinks,1
Mediterranean Spinach Bacon Rolls,Bacon,Spinach,"[""Bacon"",""Spinach"",""Puff Pastry"",""Feta Cheese"",""Olive Oil""]",15,Mediterranean,Appetizers,2
French Avocado Tomatoes Quiche,Tomatoes,Avocado,"[""Tomatoes"",""Avocado"",""Eggs"",""Cream"",""Cheese"",""Pastry Crust""]",40,French,Dinner,3
Panamanian Chocolate Jam Pudding,Chocolate Chips,Jam,"[""Chocolate Chips"",""Jam"",""Sugar"",""Eggs"",""Milk""]",50,Peruvian,Dinner,4
