Name,Ingredients,Cooking Time,Country,Meals
Chinese Pancakes,"[""Flour"",""Water"",""Salt"",""Scallions"",""Oil""]",15,China,Breakfast
Congee,"[""Rice"",""Water"",""Salt"",""Ginger"",""Soy Sauce""]",20,China,Breakfast
Dumplings,"[""Ground Pork"",""Cabbage"",""Ginger"",""Soy Sauce"",""Dumpling Wrappers""]",25,China,Lunch
Noodles with Sesame Sauce,"[""Noodles"",""Sesame Paste"",""Soy Sauce"",""Vinegar"",""Garlic""]",30,China,Lunch
Mapo Tofu,"[""Tofu"",""Ground Pork"",""Doubanjiang"",""Soy Sauce"",""Chili Oil""]",40,China,Dinner
Kung Pao Chicken,"[""Chicken"",""Peanuts"",""Dried Chili Peppers"",""Soy Sauce"",""Vinegar""]",45,China,Dinner
Tamago Kake Gohan,"[""Rice"",""Egg"",""Soy Sauce"",""Green Onion""]",15,Japan,Breakfast
Miso Soup,"[""Miso Paste"",""Tofu"",""Seaweed"",""Green Onion""]",20,Japan,Breakfast
Tempura Udon,"[""Udon Noodles"",""Dashi Broth"",""Soy Sauce"",""Tempura""]",30,Japan,Lunch
Zaru Soba,"[""Soba Noodles"",""Dashi Broth"",""Soy Sauce"",""Green Onion"",""Wasabi""]",25,Japan,Lunch
Salmon Nigiri,"[""Rice"",""Salmon"",""Nori Seaweed"",""Soy Sauce"",""Wasabi""]",45,Japan,Dinner
Chirashi Sushi,"[""Rice"",""Various Fish"",""Nori Seaweed"",""Soy Sauce"",""Wasabi""]",60,Japan,Dinner
Full English Breakfast,"[""Eggs"",""Bacon"",""Toast"",""Butter""]",15,England,Breakfast
Sausage and Egg Breakfast,"[""Sausages"",""Eggs"",""Toast"",""Mushrooms""]",20,England,Breakfast
Cheese and Pickle Sandwich,"[""Cheddar Cheese"",""Pickles"",""Bread"",""Butter""]",10,England,Lunch
Chicken Sandwich,"[""Chicken"",""Lettuce"",""Mayonnaise"",""Bread""]",10,England,Lunch
Beef Stew,"[""Beef"",""Potatoes"",""Carrots"",""Gravy""]",120,England,Dinner
Fish and Chips,"[""Fish"",""Chips"",""Salt"",""Vinegar""]",30,England,Dinner
Thai Fried Rice,"[""Rice"",""Egg"",""Pork"",""Vegetables""]",20,Thailand,Breakfast
Mango Sticky Rice,"[""Sticky Rice"",""Mango"",""Coconut Milk""]",30,Thailand,Breakfast
Pad See Ew,"[""Noodles"",""Chicken"",""Vegetables"",""Soy Sauce""]",25,Thailand,Lunch
Pad Thai,"[""Rice Noodles"",""Shrimp"",""Tofu"",""Peanuts"",""Bean Sprouts""]",30,Thailand,Lunch
Green Curry,"[""Green Curry Paste"",""Coconut Milk"",""Chicken"",""Eggplant"",""Bamboo Shoots""]",35,Thailand,Dinner
Massaman Curry,"[""Red Curry Paste"",""Coconut Milk"",""Beef"",""Potatoes"",""Peanuts""]",40,Thailand,Dinner
Crème brûlée,"[""Heavy cream"",""Vanilla bean"",""Egg yolks"",""Sugar""]",60,France,Breakfast
Croissant,"[""Flour"",""Yeast"",""Butter"",""Sugar"",""Milk""]",45,France,Breakfast
Quiche Lorraine,"[""Pâte Brisée"",""Eggs"",""Cream"",""Bacon"",""Gruyère cheese""]",75,France,Lunch
Salad Niçoise,"[""Lettuce"",""Tomatoes"",""Eggs"",""Olives"",""Anchovies"",""Tuna"",""Green beans""]",20,France,Lunch
Coq au vin,"[""Chicken"",""Red wine"",""Mushrooms"",""Bacon"",""Onions"",""Carrots""]",120,France,Dinner
Soupe à l'oignon,"[""Onions"",""Beef broth"",""Bread"",""Gruyère cheese"",""Butter""]",90,France,Dinner
Frittata,"[""Eggs"",""Milk"",""Flour"",""Sugar""]",20,Italy,Breakfast
Bruschetta,"[""Bread"",""Tomato"",""Mozzarella"",""Basil""]",10,Italy,Breakfast
Pasta al Pesto,"[""Pasta"",""Pesto"",""Pine nuts"",""Parmesan""]",15,Italy,Lunch
Caprese Salad,"[""Tomatoes"",""Mozzarella"",""Basil"",""Olive Oil""]",25,Italy,Lunch
Risotto alla Milanese,"[""Rice"",""Saffron"",""Parmesan"",""Butter""]",30,Italy,Dinner
Pizza Margherita,"[""Dough"",""Tomato Sauce"",""Mozzarella"",""Various Toppings""]",25,Italy,Dinner
Pan con Tomate,"[""Bread"",""Tomato"",""Olive Oil"",""Garlic""]",10,Spain,Breakfast
Tortilla Española,"[""Eggs"",""Potatoes"",""Onion"",""Olive Oil""]",40,Spain,Breakfast
Espinacas con Garbanzos,"[""Chickpeas"",""Spinach"",""Onion"",""Garlic"",""Spices""]",35,Spain,Lunch
Arroz con Pollo,"[""Rice"",""Chicken"",""Vegetables"",""Saffron"",""Broth""]",50,Spain,Lunch
Paella,"[""Seafood"",""Rice"",""Vegetables"",""Saffron"",""Broth""]",60,Spain,Dinner
Patatas a la Riojana,"[""Potatoes"",""Chorizo"",""Paprika"",""Olive Oil""]",45,Spain,Dinner
Egg Halwa,"[""Eggs"",""Milk"",""Sugar"",""Cardamom""]",25,India,Breakfast
Suji Halwa,"[""Semolina"",""Sugar"",""Ghee"",""Cashews"",""Raisins""]",30,India,Breakfast
Vegetable Khichdi,"[""Rice"",""Lentils"",""Vegetables"",""Spices""]",40,India,Lunch
Chole Bhature,"[""Chickpeas"",""Tomatoes"",""Onions"",""Spices""]",35,India,Lunch
Chicken Biryani,"[""Chicken"",""Rice"",""Yogurt"",""Spices""]",50,India,Dinner
Dal Palak,"[""Lentils"",""Spinach"",""Tomatoes"",""Spices""]",45,India,Dinner
